timestamp,domain,query_type,dnssec,protocol,client_ip,status,reasons,destination_country,root_domain,device_id,device_name,device_model,device_local_ip,matched_name,client_name
2026-06-03T08:54:36.308Z,tpu6t45bklh-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:34.173Z,7bzkpykmgz9-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:34.129Z,7bzkpykmgz9-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:32.009Z,455ulyoz982-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:31.966Z,455ulyoz982-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:29.849Z,40f0wdysbko-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:29.806Z,40f0wdysbko-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:27.693Z,vrzzrojzys-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:27.651Z,vrzzrojzys-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:26.571Z,uxf5fr9qtd-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:26.528Z,uxf5fr9qtd-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:24.413Z,njh2g7azzo-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:24.370Z,njh2g7azzo-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:22.182Z,link-ip.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,nextdns.io,,,,,,
2026-06-03T08:54:22.182Z,link-ip.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,nextdns.io,,,,,,
2026-06-03T08:54:22.149Z,w5ewb57d0mj-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:22.149Z,w5ewb57d0mj-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:22.149Z,test-ipv6.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,nextdns.io,,,,,,
2026-06-03T08:54:22.149Z,test-ipv6.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,nextdns.io,,,,,,
2026-06-03T08:52:48.817Z,argo.svcmot.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:nextdns-recommended,blocklist:hagezi-multi-ultimate,blocklist:steven-black",,svcmot.com,,,,,,
2026-06-03T08:52:48.817Z,argo.svcmot.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:nextdns-recommended,blocklist:hagezi-multi-ultimate,blocklist:steven-black",,svcmot.com,,,,,,
2026-06-03T08:50:23.306Z,favicons.nextdns.io,AAAA,true,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,nextdns.io,,,,,,
2026-06-03T08:50:23.261Z,favicons.nextdns.io,A,true,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,nextdns.io,,,,,,
2026-06-03T08:50:23.064Z,content-autofill.googleapis.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,content-autofill.googleapis.com,,,,,,
2026-06-03T08:50:23.020Z,content-autofill.googleapis.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,content-autofill.googleapis.com,,,,,,
2026-06-03T08:50:22.661Z,api.nextdns.io,A,true,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,nextdns.io,,,,,,
2026-06-03T08:50:22.613Z,api.nextdns.io,AAAA,true,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,nextdns.io,,,,,,
2026-06-03T08:50:19.861Z,web.facebook.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:hagezi-multi-ultimate",,facebook.com,,,,,,
2026-06-03T08:50:19.815Z,web.facebook.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:hagezi-multi-ultimate",,facebook.com,,,,,,
2026-06-03T08:50:19.359Z,my.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,nextdns.io,,,,,,
2026-06-03T08:50:19.359Z,my.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,nextdns.io,,,,,,
